customer_id,cst_successful_transfers_cnt,cst_age,customer_address_country,cst_profile_age_days,fraudulent_cst,suspicious_cst
e1eb56b4e9a8763d56ce79451c53fc7e2cfbb6bd,2,85,gbr,35,0,0
960387c0db1a169e621ecfc9b350e3fa7879319b,23,82,esp,519,0,0
c5042b63af45aac9ecb406a2a9bc258aa93bd591,2,81,gbr,15,1,0
c5042b63af45aac9ecb406a2a9bc258aa93bd591,2,81,gbr,15,1,0
84b19ad2a7badc4b16dcd78c9d4018492bf3242c,10,81,gbr,498,0,0
c848cc71460f12072521f231a061845b805369e3,1,81,esp,14,0,0
85ea650de7cf0277bbe28185120c327e6d61ec0c,2,79,gbr,671,0,0
1098fc6dc9c4dfe2ef84cf2b8c16d65edf6f3b7d,1,78,gbr,21,1,0
947610e280573e68ab427e7d1347c8ab476928a6,1,78,deu,25,1,0
940a7f56950c2e19bb4a197fc565706d5c7e5b48,1,78,fra,459,0,0
aff1b3444b10909e9b1b02612c4d2bc716cbe6f0,5,77,gbr,31,0,0
4a5f5e78deeca836b58bc6ae4f8b0f130e9f8e79,8,76,gbr,324,0,0
18315fd96ecd524e026a45f7781bb3d69a5ad01d,10,75,fra,448,0,0
480175cf18dad8a58cb39f4f3b3c0ca607071b1f,10,75,gbr,303,0,0
4e7d116a76479fcd42658626f1dc877649a01ca4,1,74,usa,13,1,1
3a4986d2d427d43570694e65be209f6d362adc75,22,74,gbr,869,0,0
8cd3c71c3cf85ccd8d76cd704c3d2d8ab1781ba3,17,74,esp,492,0,0
fd3f3597a873fe5409e4e516371bff91107d3c3f,2,74,mys,100,0,0
1a1c0b22be9a905e7a3df4a5353a61f9efaadd68,1,73,gbr,410,0,0
3aed081e50f06d96d4cc4b8cf548ef3f9fdfd1af,16,73,gbr,728,0,0
a16c37a46060b722bfa4298fb2c077818adeb898,14,73,esp,189,0,0
3b918ec78de8516ed98c8c9a088ec216cbd2c402,2,72,gbr,23,1,0
3b918ec78de8516ed98c8c9a088ec216cbd2c402,2,72,gbr,23,1,0
dad7858c35f996b93d2dc4dd0a8fac6460802b33,1,72,gbr,20,1,0
2ec111cbaa2f76e859127ed19bac2a409e892026,1,72,gbr,409,0,0
427c3e85510ea0d3897443a993d08f54e83f5378,8,72,gbr,60,0,0
c1040e3c67d6af3e3bba1e6b62736324e0276eeb,4,72,gbr,133,0,0
454412f3ca510245f8b7b92acc07f29669676169,1,71,deu,14,1,0
67859fb7085a49720b21fc8345b3a9fc315e50d1,5,71,esp,463,0,0
6e66cfc270ede742397d5de2453bc3bff91a0a3d,4,71,gbr,53,0,0
6f8e966f409641cae9c94d0e4343f9a908d094ca,9,71,gbr,251,0,0
9a170a8e1af3072616d997a898d85ea5f5027fc1,6,71,lux,595,0,0
bd1e0ad86c2ef3790c42653f74dbb8b70f167a0f,6,71,gbr,259,0,0
63c7d89ae1366fb4b94dc86dda3929a74d299409,4,70,ita,133,0,0
977d4d7c7414dab9b754b3815d40d0766584a1ac,4,70,gbr,703,0,0
a030e1703fdcbbec0339158787c5cbfeed52f851,1,70,usa,25,0,1
f4405ceed8de92df7c7ea09a119c3a4331952c39,2,70,gbr,619,0,0
ffec9cea39bd02484bcabff946d0dff5269d7de2,8,70,cyp,426,0,0
3756e69817872dbb0e7e531893644e78704581eb,1,69,gbr,22,1,1
4121a49ac163e1944a961f168e9b863d5f4b72e5,2,69,gbr,21,1,0
1cd7e454b82746afaad614c26aabc36c60f46a8c,1,69,gbr,26,0,0
304b6ae7c68d982f51411fafb4c2407bd7dbe1bf,8,69,fra,53,0,0
ef5bcbea0598237a55a8a043996e49086e67ae7f,5,69,fra,48,0,0
ef5bcbea0598237a55a8a043996e49086e67ae7f,5,69,fra,48,0,0
f77bf495a2a908febfdb2a7ff45fc287633ae51b,3,69,gbr,902,0,0
f9035416dcbd7c4357d60bde38dba66701eaf5a2,7,69,gbr,372,0,0
4caa49783b29c9ceb1d3b2e91c974de8bff420c0,2,68,gbr,19,1,1
7049806635e7b3898106f5a23dfe2a63a80f8a70,1,68,usa,16,1,1
74951b6626b5372df399d8a51d8b983fa4a3454e,1,68,gbr,10,1,1
23e3a7c53fbf95224e5edec30f9c302317daa6d0,12,68,gbr,595,0,0
33483d4db62e41d7cdb3eeca01d70b4f88d2e4f9,4,68,gbr,500,0,0
4c5316ce7a9ef2e4fb308e2924e920a505bac470,5,68,nzl,147,0,0
5ea8fe9001efd2d8d0c80e6e4f38425fc05c6bc2,17,68,bgr,191,0,0
8dcd2576e3fe042abd2a41d2505e1d0574292fec,7,68,gbr,248,0,0
b93115bc940b1f7de33bc7220cf44ea4b42172b8,28,68,gbr,165,0,1
fc956df83c495fe43283dff274e7dc3e967d7c13,6,68,mlt,346,0,0
5dad295b91e6986eb211e107a142d4483c71d86f,4,67,gbr,15,1,0
03b375c57ef2ddb7754aba8d8bfb2952ae19b1a7,9,67,gbr,410,0,0
1c8a48669f218445e0170c31f301f8596ce481d1,13,67,esp,86,0,0
241bf4c9e9f90fad771a5f88189949746baa35e3,6,67,gbr,514,0,0
48a9e160562f0c8b8394dc373fafe4b2a62ebe26,3,67,aut,333,0,0
81486e8ef62ba2fbcc06537364b4c027ccb8e3ea,5,67,gbr,478,0,0
8f51f656dbdd319c48e354423f8ff8c686c0ca72,15,67,gbr,457,0,1
a010d7281de9265e558b2d7165782e64a6632da8,5,67,gbr,753,0,0
f914977e64b41afe0479e92eac8a56fb15540db2,2,67,aus,16,0,0
705dad9b306629ea1e6bc6c12e1776a7b3a55492,1,66,gbr,10,1,1
05fb845980f89992edd233892ccc8eba7830d2e3,1,66,gbr,17,0,0
278ef25480a6a73da2f1a4d3891551be2aea06ef,7,66,gbr,261,0,0
6fba6613d9dc093b1ef5475a130a9c60d8962d84,7,66,gbr,233,0,0
722da03565aea265e86453bfc292dabfd51cea25,28,66,gbr,443,0,0
a2c2d0e3a2d5e80b2268b43542e2cfc599f1549f,2,66,gbr,25,0,0
e1b68178206f0c3c547e59fb8fc9eb64955c104f,2,66,nzl,409,0,0
6b3d5a19fb81668f0f36433fa268cfbb8ff98bd8,1,65,gbr,8,1,1
7ed0ffbfd239ee20beb158d31978270d3534702c,1,65,gbr,27,1,1
43d2c4187eb13b9f9bdf28c2a5115b7f300fcb18,2,65,swe,443,0,0
5af3334dadf0e283fbefb74ab61480eb7f58cc74,5,65,usa,67,0,1
61c7dcae230c4233c41a57ca07d455e586525a2c,1,65,gbr,389,0,0
785ae52963b21eba6331aa4f72735ad6943e8d7c,18,65,esp,913,0,0
7e08672aac451e02aef9f5216398a3255ef907af,54,65,gbr,169,0,1
dc8e1dc569ac8c36b2a68718d44e22d136761a87,1,64,irl,14,1,1
2401fc4eab51ea0aad2995c6355b02833cc6b4ea,6,64,gbr,441,0,1
38cc33a70a9c3cdb2499d70fe765dca72c225ba3,1,64,esp,16,0,0
a2ccbf46227548e3db18a55783d6742bcea45b59,4,64,fra,647,0,0
c2816204a02472d679d069aa24a2799e902c3fad,27,64,gbr,78,0,0
c2e74b8329a0996d1a2865838b8ae5b5f003bef0,15,64,gbr,58,0,1
fa748af6da11fc629d77ee26bc1aaf767a7f2564,8,64,gbr,409,0,0
61419b50fe7d02cc9f7cdbed2a11c023c98ab22f,2,63,gbr,27,0,0
6deded0854e4a17342d9fc30f78e295e08a3a113,11,63,gbr,456,0,0
814a73a765413e4891e9ea40d7055ac650546fa7,5,63,fra,203,0,0
90e93e8948300cae0ec48776b9f97ab588145fb0,24,63,gbr,318,0,0
b41d8c1e2fb970b1fa9eec1d9cc93c9e5437af98,3,63,pol,21,0,0
b8e625cf07c99736cbec6b3d123f6a4022f20ae4,1,63,deu,36,0,0
cf9fd040ea58d6fe35c1f92de8181e390c248f49,11,63,esp,407,0,0
f4c9818e4ed4dd101776d5fd0e500cdd1377a712,1,63,pol,10,0,0
ff953fc3db05ec34c2f1f971844d1441039c878b,1,63,ggy,37,0,0
de675a6764629f116c98698fea77550543eb298b,1,62,gbr,17,1,1
0ed7032fce2ba396e8157eeb8468a2fb20637f51,2,62,deu,23,0,0
6090e75cc823cac29c024cad24eee97ec546094e,14,62,gbr,244,0,0
784bb55238a3c3dd6e69b51c7c7ee57efd31975c,1,62,bel,8,0,0
a0dd5395567d712c1e80075c12c77b87e670958a,5,62,gbr,383,0,0
b1bea063f26de788549a1c66972b5ee99eacbda7,10,62,gbr,531,0,0
d46b25833fba4882482cb428d37bddb50e30f7fc,30,62,gbr,561,0,0
e40baccb666ba732ff917bb573d2bfd284cece44,12,62,gbr,511,0,0
f7eb6528115075864fd23243d95d8024283cb319,3,62,aut,669,0,0
28522b6ab4dcd5573de0367150805e586c074f82,1,61,swe,24,1,1
5271b2e83bc2dc6d54d05f47eed94a00d91c763e,1,61,gbr,25,1,0
6f03234687d69f6b0ce8661e38713025699d7401,1,61,gbr,21,1,1
b2e9eee7b1e4d204ef9e92c4601f797cd9b98bcc,1,61,usa,7,1,1
b8dfb87a266f3b65e1c2c8761a87398a873e41cd,2,61,deu,25,1,0
b8dfb87a266f3b65e1c2c8761a87398a873e41cd,2,61,deu,25,1,0
302bd315bd4559db4315e5e30b52e77f97773650,2,61,gbr,20,0,0
