"request_id","target_recipient_id","customer_id","payment_type","transferTrust","daysPassed","customerSendCount","customerReceiveCount","forgetCoeff","sendCoeff","receiveCoeff","successTransferCoeff","fraudCoeff","suspCoeff","daysCoeff","decisionCoeff","decisionRank"
"909b09d0309b7aeede2f3614a4db428e1ebc0d91","a07ce2cd7cd43000cd851b6bee159edc22a1be23","47c96b44dece692917f1cf21b38dcdd29284e19d","card",0.5,20,1,1,0.983221108496486,0.890898718140339,0.870550563296124,0.5,0.5,0.75,0.5,0.0357449595039535,0
"2178ede71c48d4e46aa41e4b10c22157d4e423c3","1fbcf034286c7de3b52aa99c2996d2c97677bbfa","dbda5c3d303d26d16018c7cde8723842769f017a","ach",0.7,0,5,1,0.5,0.561231024154687,0.870550563296124,0.7,0.5,0.75,0.6,0.0269329716299689,0
"a47923250196cbb7133effd09388981019b03724","7968d6a6ce4d51188b3405cc12370331f76f437b","312d291146295a34a358eee69a36f3771b70c1d5","card",0.5,4,3,3,0.623683572263566,0.707106781186548,0.659753955386447,0.7,0.5,0.75,0.6,0.0229129956248066,0
"bb56b5b79e059aba818abd4e3327abb01de6a2cd","3b3f1172cffd6dec34fcc8d628079d045365961d","affdb94c21887b3b4ae2d7c3aa5f68eaf8254679","card",0.5,7,2,2,0.7062994740159,0.7937005259841,0.757858283255199,0.6,0.5,0.75,0.55,0.0262874684597072,0
"c03b1e89ac26e79e11f8e605e6fca1db0f5251d8","0be51d40e1563afc3ce3b81ac7a085e0f092b21b","d3ab2640a9ff89cd7375f59fa6ca74a979236db4","card",0.5,15,1,1,0.890493172897762,0.890898718140339,0.870550563296124,0.5,0.5,0.75,0.5,0.0323738395450562,0
"5a394e168993a49e4b4cf0bfd1388a89c066bc74","f49af2c8681120a75ee13a2ed74c6176fc5327b8","947610e280573e68ab427e7d1347c8ab476928a6","card",0.5,3,1,1,0.594276335736093,0.890898718140339,0.870550563296124,0.5,0.5,0.95,0.6,0.0328394322748443,0
"d176a6a034792336b99d372ccfd828e731bc7df9","e045356c0a2a71eb4b78dca5368370b81699fd0d","6bd197776951e853e74aec499b3eb5889495e9b1","card",0.5,3,2,2,0.594276335736093,0.7937005259841,0.757858283255199,0.6,0.5,0.95,0.6,0.030563228012831,0
"553504293663db1515eec56cb1e0029766739135","b2d7981bcaf822519bdeb7f79f3e950b75cd27dc","9f78e36aac5d371d503a24ce54596fb47b9129af","card",0.5,6,2,2,0.679664643992362,0.7937005259841,0.757858283255199,0.6,0.5,0.95,0.55,0.0320417997784301,0
"55b10d90f1e42023c1e40590944f523773bbd5b1","c16de0a6eda50c8edac8adffad39d0b4bea74ad3","db0f7816a10ea3d5f1f633285ce11a06c8f05bcd","card",0.5,11,2,2,0.804467190377085,0.7937005259841,0.757858283255199,0.6,0.5,0.95,0.55,0.0379254340654925,0
"64cd08175ebcdba4a9aff6b3f80dd779eb843572","b2d7981bcaf822519bdeb7f79f3e950b75cd27dc","9f78e36aac5d371d503a24ce54596fb47b9129af","card",0.5,5,2,2,0.652136008122465,0.7937005259841,0.757858283255199,0.6,0.5,0.95,0.55,0.0307440023330087,0
"620ab441c262bd4ffe296fb01111fbcb6c879b47","c16de0a6eda50c8edac8adffad39d0b4bea74ad3","db0f7816a10ea3d5f1f633285ce11a06c8f05bcd","card",0.5,10,2,2,0.781126651277491,0.7937005259841,0.757858283255199,0.6,0.5,0.95,0.55,0.0368250783427691,0
"eaf12c06ae835505e04891ff56aa469207b53e07","f3ed7f221748ed6e6f74d2a6862fc892bd46c229","dbda5c3d303d26d16018c7cde8723842769f017a","ach",0.7,4,5,4,0.623683572263566,0.561231024154687,0.574349177498517,0.7,0.5,0.75,0.6,0.0221646346407959,0
"39d7eeec4f39856be6ed743a890be29c6d3bd4ba","138a83ce1223eecf3711748513c9b29d85f79919","7ed0ffbfd239ee20beb158d31978270d3534702c","card",0.5,0,1,1,0.5,0.890898718140339,0.870550563296124,0.5,0.5,0.75,0.6,0.0218129732132869,0
"f311ac55cc6fd030592df836f07c971df5067733","812b70f484e784d675f3b299199996c439dd4889","4557e9c20e3e8b69703ba437174d9360df33a4e4","card",0.5,17,5,5,0.929429845002994,0.561231024154687,0.5,0.7,0.5,0.75,0.5,0.0171158158431409,0
"3fc7839bea989eae7dad743dc562aa48c75488ae","ac39ad7322d7f78b7657df8a5e0cfe0fb250abd2","75afb8ecdd8217325d1e296e2e18068000fb5b00","card",0.5,6,1,1,0.679664643992362,0.890898718140339,0.870550563296124,0.5,0.5,0.75,0.55,0.0271800955679432,0
"a66d778238a16995ec7126ffdd9e28263752ec91","0f71679053f6b3c6a68cfcfefeb7365ba8c1055c","e8e1574ef56bb9b5a54e7874df0fdd920ab2ab38","card",0.5,17,2,1,0.929429845002994,0.7937005259841,0.870550563296124,0.6,0.5,0.75,0.5,0.03612349895164,0
